image_path,absolute_path,prompt,respuesta,module,section,subsection,function_detected,hierarchy_level,screen_type,buttons_visible,form_fields,navigation_elements,main_actions,user_workflow,keywords,additional_metadata,file_size,filename
pantalla principal/Modulo Administrador del Sistema.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo Administrador del Sistema.png,Módulo: Pantalla Principal | Sección: Módulo Administrador del Sistema | Función: Administración,Pantalla de Administración,Pantalla Principal,Módulo Administrador del Sistema,,Administración,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""administrador del sistema"", ""administrador""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Administrador del Sistema"", ""subsection"": null, ""function_detected"": ""Administraci\u00f3n"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""administrador del sistema"", ""administrador""]}, ""ai_raw_response"": {}}",327375,Modulo Administrador del Sistema.png
pantalla principal/Modulo Contabilidad.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo Contabilidad.png,Módulo: Pantalla Principal | Sección: Módulo Contabilidad | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo Contabilidad,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""contabilidad""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Contabilidad"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""contabilidad""]}, ""ai_raw_response"": {}}",350338,Modulo Contabilidad.png
pantalla principal/Modulo Credito y cobranza.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo Credito y cobranza.png,Módulo: Pantalla Principal | Sección: Módulo Credito y cobranza | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo Credito y cobranza,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""credito y cobranza""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Credito y cobranza"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""credito y cobranza""]}, ""ai_raw_response"": {}}",331561,Modulo Credito y cobranza.png
pantalla principal/Modulo_Inventarios.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_Inventarios.png,Módulo: Pantalla Principal | Sección: Módulo Inventarios | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo Inventarios,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""inventarios""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Inventarios"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""inventarios""]}, ""ai_raw_response"": {}}",340854,Modulo_Inventarios.png
pantalla principal/Modulo_Sesion.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_Sesion.png,Módulo: Pantalla Principal | Sección: Módulo Sesion | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo Sesion,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""sesion""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Sesion"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""sesion""]}, ""ai_raw_response"": {}}",317960,Modulo_Sesion.png
pantalla principal/Modulo_Ventas.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_Ventas.png,Módulo: Pantalla Principal | Sección: Módulo Ventas | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo Ventas,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""ventas""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Ventas"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""ventas""]}, ""ai_raw_response"": {}}",352646,Modulo_Ventas.png
pantalla principal/Modulo_Visualizador_de_Reportes.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_Visualizador_de_Reportes.png,Módulo: Pantalla Principal | Sección: Módulo Visualizador de Reportes | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo Visualizador de Reportes,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""visualizador de reportes""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo Visualizador de Reportes"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""visualizador de reportes""]}, ""ai_raw_response"": {}}",309393,Modulo_Visualizador_de_Reportes.png
pantalla principal/Modulo_adeudos_y_pagos.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_adeudos_y_pagos.png,Módulo: Pantalla Principal | Sección: Módulo adeudos y pagos | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo adeudos y pagos,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""adeudos y pagos""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo adeudos y pagos"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""adeudos y pagos""]}, ""ai_raw_response"": {}}",331025,Modulo_adeudos_y_pagos.png
pantalla principal/Modulo_ayuda.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_ayuda.png,Módulo: Pantalla Principal | Sección: Módulo ayuda | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo ayuda,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""ayuda""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo ayuda"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""ayuda""]}, ""ai_raw_response"": {}}",310890,Modulo_ayuda.png
pantalla principal/Modulo_entregas.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_entregas.png,Módulo: Pantalla Principal | Sección: Módulo entregas | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo entregas,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""entregas""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo entregas"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""entregas""]}, ""ai_raw_response"": {}}",318491,Modulo_entregas.png
